epoch,accuracy,loss,val_accuracy,val_loss
0,0.5778414607048035,0.9518734812736511,0.6044444441795349,0.88303542137146
1,0.5893027782440186,0.8887760043144226,0.6088888645172119,0.8378742337226868
2,0.5988538861274719,0.8404866456985474,0.6244444251060486,0.8152400255203247
3,0.6370582580566406,0.7897989749908447,0.6200000047683716,0.8361226320266724
4,0.6628462076187134,0.7616279721260071,0.6555555462837219,0.795783281326294
5,0.6886342167854309,0.7092354893684387,0.648888885974884,0.8027867078781128
6,0.7125119566917419,0.6610919833183289,0.6133333444595337,0.8594660758972168
7,0.736389696598053,0.6341009736061096,0.6555555462837219,0.8064972162246704
8,0.760267436504364,0.575560450553894,0.6377778053283691,0.8624252080917358
9,0.7784145474433899,0.5315293669700623,0.6177777647972107,0.8480488657951355
